@relation solicitantes

@attribute edad_del_peticionario real
@attribute nivel_de_estudios {ninguno, licenciatura, posgrado}
@attribute nivel_de_renta {alto, medio, bajo}
@attribute patrimonio {alto, medio, bajo}
@attribute numero_de_hijos real
@attribute tamano_del_credito real
@attribute funcionario {si, no}
@attribute autorizado {si, no}

@data
47,ninguno,bajo,bajo,6,9213,no,no
41,ninguno,bajo,bajo,1,14153,no,no
48,ninguno,medio,medio,3,55961,si,si
52,posgrado,medio,medio,0,65924,si,no
28,licenciatura,bajo,bajo,4,4878,si,no
30,posgrado,medio,medio,0,23852,si,si
27,licenciatura,medio,alto,2,94753,si,si
35,licenciatura,medio,bajo,3,86692,no,no
33,licenciatura,medio,alto,2,59525,si,si
59,ninguno,bajo,bajo,3,15779,si,si
28,licenciatura,bajo,medio,2,4073,si,si
49,ninguno,bajo,bajo,5,2486,si,no
24,ninguno,medio,bajo,3,90150,si,si
59,posgrado,medio,medio,3,17829,si,si
36,licenciatura,medio,alto,1,99929,si,si
50,posgrado,medio,bajo,0,23042,si,si
35,licenciatura,medio,alto,2,2182,si,si
45,ninguno,bajo,bajo,4,12307,no,no
54,ninguno,bajo,bajo,6,9465,si,si
48,posgrado,alto,bajo,2,72182,si,si
37,licenciatura,bajo,bajo,6,10421,no,no
27,licenciatura,medio,alto,3,62376,si,si
57,posgrado,medio,alto,1,65162,si,si
24,ninguno,medio,bajo,1,3117,si,no
38,licenciatura,bajo,medio,6,9277,no,no
37,licenciatura,medio,medio,2,80648,no,no
20,licenciatura,bajo,bajo,2,14044,si,si
44,ninguno,medio,medio,0,9076,si,si
45,ninguno,bajo,bajo,2,17196,no,no
21,licenciatura,medio,alto,2,84212,si,si
53,ninguno,medio,bajo,1,59589,si,si
20,licenciatura,medio,alto,3,66329,si,si
43,posgrado,bajo,bajo,2,2114,no,no
51,ninguno,bajo,bajo,4,15091,no,no
50,posgrado,bajo,bajo,2,5080,no,si
39,ninguno,medio,bajo,2,74184,si,si
52,ninguno,medio,bajo,3,27746,si,si
52,posgrado,medio,bajo,2,93574,si,si
46,posgrado,alto,alto,2,20550,no,si
21,ninguno,medio,medio,1,88344,si,si
59,posgrado,medio,medio,2,71676,si,si
37,licenciatura,medio,alto,2,91952,si,si
30,licenciatura,medio,bajo,3,90293,si,si
53,posgrado,bajo,bajo,5,15777,si,si
49,ninguno,bajo,bajo,5,19401,si,si
52,ninguno,bajo,bajo,4,16925,si,no
23,licenciatura,medio,alto,2,18097,si,si
20,licenciatura,alto,medio,3,7584,si,si
22,licenciatura,medio,alto,3,62304,si,no
38,licenciatura,medio,medio,2,6326,si,si
26,ninguno,bajo,bajo,1,2901,si,no
41,ninguno,bajo,bajo,2,2968,no,no
25,licenciatura,medio,alto,1,80013,si,no
54,ninguno,bajo,bajo,4,19414,si,no
47,ninguno,medio,medio,3,15673,si,no
21,licenciatura,bajo,bajo,3,17117,no,si
22,ninguno,bajo,bajo,1,5689,no,si
27,licenciatura,alto,bajo,3,5530,si,no
28,ninguno,medio,medio,1,64165,si,si
60,ninguno,bajo,bajo,1,5132,no,no
41,posgrado,bajo,bajo,6,9472,si,no
53,ninguno,bajo,bajo,4,17613,si,no
39,ninguno,bajo,bajo,1,12242,no,no
27,licenciatura,medio,alto,0,24212,si,si
59,ninguno,bajo,bajo,5,1672,no,no
54,ninguno,medio,medio,0,3804,si,si
37,licenciatura,bajo,bajo,4,2568,no,no
51,ninguno,bajo,bajo,4,13486,no,no
32,licenciatura,medio,alto,3,14444,si,si
45,ninguno,bajo,bajo,3,13593,no,no
45,ninguno,bajo,bajo,6,6442,no,no
29,licenciatura,bajo,medio,6,3525,si,no
27,ninguno,medio,medio,3,20153,si,no
43,ninguno,bajo,bajo,1,10299,no,no
58,posgrado,medio,alto,3,76032,si,si
23,ninguno,medio,medio,2,59665,si,si
58,ninguno,medio,bajo,0,9013,si,no
30,ninguno,medio,alto,1,23399,si,no
34,ninguno,medio,medio,3,85347,si,no
34,licenciatura,medio,alto,2,58535,si,si
49,ninguno,bajo,bajo,5,12527,no,no
36,ninguno,bajo,bajo,2,8052,no,no
59,posgrado,medio,medio,1,61974,si,no
31,licenciatura,bajo,bajo,4,5535,no,no
57,posgrado,medio,medio,2,71396,no,no
21,licenciatura,medio,bajo,2,97151,si,si
36,ninguno,medio,medio,1,8689,si,si
22,licenciatura,medio,medio,1,51819,si,no
35,ninguno,bajo,bajo,2,8071,no,no
58,ninguno,bajo,bajo,6,15682,no,no
44,posgrado,medio,medio,3,74149,si,si
34,licenciatura,medio,medio,1,39145,si,si
52,ninguno,bajo,bajo,5,18401,no,no
47,ninguno,bajo,bajo,5,8172,si,si
54,ninguno,medio,medio,3,63098,si,si
48,ninguno,bajo,bajo,5,2549,no,no
31,posgrado,medio,alto,0,26293,si,si
36,licenciatura,bajo,bajo,3,3210,no,no
59,ninguno,bajo,bajo,1,15934,no,no
41,ninguno,bajo,bajo,5,2462,no,si
42,ninguno,bajo,bajo,4,19375,no,no
41,ninguno,bajo,bajo,6,8291,no,no
44,ninguno,bajo,bajo,4,18191,no,no
37,ninguno,bajo,bajo,3,9144,si,no
20,ninguno,medio,bajo,3,60548,si,si
37,licenciatura,bajo,bajo,4,11320,si,no
24,licenciatura,alto,alto,0,17941,si,si
42,posgrado,medio,medio,1,54756,si,si
21,licenciatura,bajo,bajo,3,3696,no,no
41,posgrado,alto,medio,0,9236,si,si
33,posgrado,medio,medio,0,62203,si,si
51,ninguno,bajo,bajo,5,19097,no,no
20,ninguno,bajo,medio,2,13217,si,no
54,ninguno,bajo,bajo,1,13851,si,no
52,ninguno,bajo,bajo,6,19417,si,no
40,ninguno,medio,medio,1,80396,si,si
54,ninguno,bajo,bajo,3,7869,no,no
38,licenciatura,bajo,bajo,4,14406,no,no
24,licenciatura,medio,medio,3,37840,no,no
44,ninguno,bajo,medio,1,15800,si,no
20,licenciatura,alto,medio,0,62700,si,si
51,ninguno,bajo,bajo,3,7944,no,si
43,ninguno,bajo,bajo,6,15855,no,no
56,ninguno,bajo,bajo,2,5621,no,no
42,ninguno,bajo,alto,4,3368,si,no
57,ninguno,bajo,medio,3,16945,si,no
57,posgrado,medio,medio,2,70027,si,no
46,ninguno,bajo,medio,6,3340,si,si
59,posgrado,medio,bajo,0,11508,si,si
31,licenciatura,medio,alto,2,31946,si,si
50,posgrado,medio,alto,1,93602,si,si
46,posgrado,alto,alto,2,4008,si,no
38,licenciatura,medio,medio,2,10853,si,si
48,ninguno,bajo,bajo,1,18543,no,no
40,licenciatura,medio,medio,1,1907,si,no
36,ninguno,bajo,bajo,6,1062,no,no
57,ninguno,medio,medio,3,20085,si,no
41,ninguno,bajo,bajo,3,2347,no,si
24,licenciatura,bajo,bajo,1,9648,no,no
22,licenciatura,medio,alto,3,2921,si,si
31,licenciatura,medio,alto,2,64272,si,si
49,posgrado,alto,alto,3,19326,si,si
24,ninguno,bajo,bajo,5,17001,no,no
57,posgrado,medio,alto,0,4425,si,si
50,posgrado,medio,medio,3,40337,si,si
32,ninguno,bajo,medio,5,9892,si,no
31,licenciatura,bajo,medio,3,15610,si,si
60,ninguno,bajo,bajo,3,12595,no,no
32,ninguno,bajo,bajo,2,2020,no,si
24,licenciatura,medio,medio,2,17930,si,no
60,ninguno,bajo,bajo,5,11476,no,no
34,posgrado,medio,bajo,1,23854,si,si
58,posgrado,medio,medio,3,64066,si,si
26,licenciatura,medio,medio,0,47756,si,si
24,licenciatura,bajo,bajo,5,1295,no,si
40,licenciatura,medio,bajo,2,26915,si,si
37,licenciatura,medio,bajo,2,92958,no,no
47,ninguno,bajo,medio,6,8833,si,si
32,licenciatura,bajo,bajo,5,5094,no,si
57,ninguno,bajo,bajo,4,7661,si,no
44,ninguno,medio,medio,3,50124,si,si
27,posgrado,medio,bajo,0,50125,si,si
25,licenciatura,bajo,medio,3,18765,no,no
27,ninguno,medio,alto,0,97784,si,si
32,licenciatura,medio,bajo,2,22097,si,si
38,licenciatura,medio,alto,2,92389,si,no
42,posgrado,medio,medio,1,63448,no,no
40,ninguno,medio,alto,1,89273,si,si
60,ninguno,bajo,medio,6,9233,si,si
60,posgrado,medio,bajo,0,46248,si,si
23,posgrado,medio,medio,1,58164,si,si
24,licenciatura,medio,alto,2,56911,si,si
35,licenciatura,bajo,medio,6,9646,si,si
40,licenciatura,medio,medio,2,36434,no,no
41,ninguno,bajo,bajo,4,18037,si,si
40,licenciatura,bajo,medio,6,13983,no,si
44,ninguno,medio,medio,0,43950,si,no
33,ninguno,medio,medio,0,4144,si,no
28,licenciatura,bajo,bajo,3,16470,si,si
45,ninguno,bajo,bajo,5,7116,si,no
55,ninguno,bajo,bajo,4,9317,si,no
36,posgrado,bajo,bajo,4,15205,no,no
54,posgrado,alto,medio,3,12175,no,no
45,posgrado,medio,alto,2,70998,si,si
49,ninguno,bajo,bajo,5,19174,no,no
33,licenciatura,medio,bajo,0,38622,si,si
55,ninguno,bajo,bajo,2,17336,no,no
46,ninguno,bajo,bajo,6,9086,no,no
56,posgrado,medio,medio,1,6397,si,no
56,ninguno,bajo,bajo,6,3670,no,no
47,posgrado,bajo,bajo,1,12591,no,no
36,licenciatura,medio,alto,0,52423,si,si
43,ninguno,bajo,bajo,4,14579,no,no
60,posgrado,medio,alto,1,51629,si,si
51,posgrado,medio,medio,0,83677,si,si
37,licenciatura,bajo,bajo,2,14658,si,no
44,ninguno,bajo,bajo,2,15735,no,no
45,ninguno,bajo,bajo,2,7660,no,no
35,ninguno,bajo,bajo,1,12520,no,no
33,licenciatura,bajo,medio,6,7022,si,si
48,ninguno,bajo,bajo,1,7646,no,si
38,ninguno,alto,medio,2,87723,no,si
46,ninguno,medio,bajo,1,3979,no,no
47,ninguno,medio,medio,1,69804,si,si
60,ninguno,bajo,bajo,2,15635,no,no
43,posgrado,medio,bajo,0,53084,no,no
35,licenciatura,medio,medio,3,81067,no,no
23,licenciatura,bajo,medio,6,15487,no,si
29,licenciatura,bajo,medio,5,5778,no,no
42,ninguno,medio,medio,3,11465,si,no
39,licenciatura,medio,medio,3,8207,si,si
42,posgrado,alto,medio,0,74679,si,si
37,ninguno,bajo,bajo,3,13608,no,no
58,ninguno,bajo,bajo,6,9438,no,no
44,ninguno,bajo,bajo,3,10883,no,si
60,ninguno,bajo,bajo,4,765,no,no
33,licenciatura,bajo,bajo,6,2744,si,no
57,ninguno,bajo,bajo,5,10758,no,no
23,licenciatura,bajo,bajo,5,5056,no,si
44,ninguno,bajo,bajo,6,11140,no,no
28,licenciatura,bajo,bajo,4,3059,no,si
36,ninguno,medio,alto,3,60637,si,si
35,licenciatura,medio,bajo,3,5650,si,si
58,ninguno,bajo,bajo,1,4264,no,no
31,ninguno,bajo,bajo,1,11936,no,no
41,ninguno,medio,alto,2,83060,si,si
34,ninguno,medio,medio,3,96567,no,no
53,ninguno,bajo,bajo,4,11966,no,si
57,ninguno,bajo,bajo,4,8655,no,si
28,ninguno,bajo,bajo,1,10502,no,si
57,ninguno,bajo,bajo,5,19725,si,si
59,posgrado,bajo,bajo,1,19598,no,no
21,licenciatura,bajo,bajo,3,4873,no,no
25,licenciatura,bajo,bajo,1,9063,no,si
26,licenciatura,medio,bajo,2,73612,si,si
48,posgrado,medio,medio,3,92498,si,si
36,ninguno,medio,medio,0,97077,si,si
34,licenciatura,medio,medio,3,21672,si,si
30,licenciatura,bajo,bajo,3,3363,no,no
31,licenciatura,bajo,bajo,5,13960,no,no
35,licenciatura,bajo,bajo,4,16288,si,no
44,ninguno,bajo,bajo,2,4517,si,no
22,licenciatura,alto,bajo,0,1626,si,si
21,licenciatura,bajo,bajo,5,4296,no,no
60,ninguno,medio,medio,3,54881,si,si
42,ninguno,bajo,bajo,4,4565,no,no
50,posgrado,alto,alto,3,90830,si,si
42,ninguno,bajo,bajo,2,15961,no,no
30,posgrado,bajo,medio,1,1712,si,no
22,ninguno,bajo,bajo,5,14684,no,no
40,licenciatura,bajo,bajo,4,8830,no,no
29,licenciatura,medio,medio,0,1135,si,si
29,licenciatura,medio,bajo,2,81662,si,si
48,ninguno,medio,medio,0,72202,si,si
52,posgrado,medio,alto,2,20243,si,si
33,licenciatura,medio,medio,2,14859,si,si
29,licenciatura,alto,bajo,1,91330,si,si
49,posgrado,medio,alto,0,85548,si,no
49,ninguno,bajo,bajo,6,3080,si,no
60,posgrado,alto,medio,1,4104,no,no
31,licenciatura,bajo,medio,5,4949,no,no
38,licenciatura,medio,medio,3,74258,si,si
41,posgrado,medio,medio,1,8773,si,si
60,ninguno,bajo,bajo,4,3183,no,no
40,ninguno,bajo,bajo,1,5946,no,no
50,ninguno,bajo,bajo,2,3986,si,no
36,licenciatura,medio,alto,2,93411,si,no
43,ninguno,bajo,bajo,4,775,no,no
49,ninguno,medio,medio,1,13985,si,si
60,ninguno,bajo,bajo,4,1207,no,no
47,ninguno,bajo,bajo,5,18805,no,si
36,licenciatura,medio,bajo,0,2440,si,si
46,posgrado,medio,medio,0,15899,si,si
26,licenciatura,medio,medio,2,78406,si,no
22,licenciatura,medio,bajo,2,59123,si,si
43,posgrado,medio,alto,3,57511,si,no
56,ninguno,bajo,bajo,1,4300,no,no
44,ninguno,bajo,bajo,1,10249,no,no
58,posgrado,medio,medio,1,81706,si,si
52,ninguno,bajo,bajo,2,2855,no,no
41,ninguno,bajo,bajo,5,13674,si,si
46,posgrado,bajo,medio,5,14984,no,si
47,ninguno,bajo,bajo,4,18390,no,no
25,ninguno,medio,alto,1,18781,si,si
48,posgrado,medio,alto,1,79423,si,no
25,ninguno,bajo,bajo,3,2677,no,no
21,licenciatura,medio,bajo,1,23422,si,si
24,licenciatura,medio,alto,0,22608,si,si
49,ninguno,medio,medio,0,53731,si,si
42,ninguno,bajo,bajo,5,5591,si,si
47,ninguno,bajo,bajo,2,774,no,no
49,ninguno,bajo,bajo,6,10732,no,no
53,ninguno,bajo,bajo,5,19821,no,no
21,licenciatura,bajo,bajo,5,18471,si,no
55,ninguno,medio,medio,1,12862,si,si
36,ninguno,medio,medio,1,46950,si,si
23,licenciatura,bajo,bajo,5,10289,no,no
46,posgrado,medio,medio,1,1651,si,si
57,posgrado,medio,medio,3,69607,si,no
39,ninguno,medio,medio,0,91181,si,no
48,posgrado,alto,bajo,2,27488,si,si
41,ninguno,bajo,bajo,5,14863,no,no
59,ninguno,bajo,bajo,2,6233,no,no
59,ninguno,bajo,bajo,1,2510,no,no
50,posgrado,medio,alto,1,87189,si,no
60,ninguno,bajo,bajo,5,5486,no,no
48,ninguno,bajo,bajo,2,18187,no,no
49,posgrado,bajo,bajo,6,15660,no,no
47,ninguno,bajo,bajo,2,12816,no,no
38,licenciatura,medio,bajo,1,99736,si,si
37,ninguno,medio,alto,3,21337,si,no
44,ninguno,medio,medio,2,83140,si,si
39,licenciatura,medio,medio,2,27942,si,si
20,ninguno,medio,medio,2,3602,si,no
42,ninguno,bajo,bajo,5,13028,no,no
38,licenciatura,medio,alto,1,42284,si,no
59,ninguno,bajo,bajo,6,11999,no,no
57,ninguno,alto,alto,2,6163,si,no
24,licenciatura,medio,bajo,0,20227,si,si
56,ninguno,bajo,bajo,3,8451,no,no
29,licenciatura,medio,medio,3,92030,si,si
21,licenciatura,medio,bajo,2,87511,si,si
31,licenciatura,bajo,bajo,2,12478,si,no
60,ninguno,medio,alto,0,90274,si,si
59,ninguno,bajo,bajo,1,1679,no,no
56,ninguno,medio,medio,3,22499,si,si
21,licenciatura,alto,alto,1,1946,si,si
39,licenciatura,medio,medio,0,33820,si,si
29,licenciatura,medio,alto,0,24866,no,no
44,ninguno,bajo,bajo,2,7198,no,no
54,posgrado,medio,medio,3,88910,si,no
26,licenciatura,medio,medio,3,38646,si,si
54,ninguno,bajo,bajo,6,4440,no,no
51,posgrado,medio,medio,0,5281,si,si
33,licenciatura,medio,bajo,3,82299,no,si
26,licenciatura,medio,alto,3,57766,si,si
29,licenciatura,bajo,alto,4,12629,no,no
55,ninguno,medio,bajo,0,6407,si,si
33,ninguno,medio,alto,1,82748,si,si
32,ninguno,medio,alto,2,40815,si,si
22,licenciatura,medio,alto,0,58411,si,si
22,ninguno,medio,medio,1,5145,si,si
45,ninguno,medio,medio,1,77713,si,si
33,ninguno,medio,medio,2,10726,si,si
26,licenciatura,alto,bajo,0,97045,si,si
56,posgrado,medio,medio,2,46286,si,si
57,ninguno,bajo,bajo,4,11631,no,no
27,ninguno,medio,medio,2,22002,si,no
31,licenciatura,medio,bajo,2,15096,si,si
58,ninguno,bajo,bajo,6,6454,si,no
59,posgrado,alto,alto,3,55686,si,si
30,licenciatura,bajo,bajo,4,9200,no,no
24,ninguno,medio,bajo,2,94746,si,si
30,ninguno,alto,bajo,0,89350,si,si
50,posgrado,medio,medio,1,57140,no,no
57,ninguno,bajo,bajo,2,5010,no,no
35,ninguno,bajo,bajo,3,10895,si,no
28,licenciatura,bajo,bajo,5,17193,no,no
37,ninguno,bajo,bajo,3,9023,no,no
21,licenciatura,bajo,bajo,4,4107,no,si
53,ninguno,bajo,bajo,5,14681,no,no
20,ninguno,medio,medio,2,58451,si,si
56,ninguno,medio,medio,0,69707,si,si
30,licenciatura,medio,alto,2,38273,si,no
39,licenciatura,medio,medio,3,29463,si,si
30,licenciatura,medio,alto,3,71917,si,si
54,ninguno,bajo,bajo,3,15319,no,no
29,licenciatura,bajo,bajo,2,19260,no,no
52,ninguno,medio,alto,3,62346,si,no
46,ninguno,bajo,bajo,5,8419,no,no
35,ninguno,medio,medio,2,92627,si,si
33,licenciatura,bajo,bajo,6,988,no,no
27,licenciatura,medio,alto,2,18556,si,si
37,licenciatura,bajo,bajo,1,13175,no,no
34,licenciatura,alto,medio,3,17256,si,si
52,ninguno,bajo,bajo,2,8394,no,no
20,licenciatura,bajo,bajo,2,11873,no,no
53,posgrado,medio,bajo,2,36700,si,si
58,ninguno,medio,alto,1,25705,no,no
55,ninguno,medio,alto,2,43846,si,si
38,licenciatura,bajo,bajo,1,4568,no,no
21,ninguno,medio,alto,0,37431,si,si
32,licenciatura,alto,medio,2,65611,si,si
43,posgrado,medio,medio,3,44354,si,si
50,posgrado,medio,medio,1,1325,no,si
31,licenciatura,medio,alto,1,42122,si,si
29,licenciatura,medio,bajo,1,7421,si,si
51,posgrado,alto,alto,3,45245,si,si
56,posgrado,medio,alto,0,26544,si,si
40,licenciatura,medio,bajo,2,34808,si,si
53,ninguno,bajo,bajo,3,10995,no,no
35,licenciatura,bajo,medio,5,4968,no,no
33,licenciatura,medio,alto,1,17574,si,si
56,posgrado,medio,alto,0,61270,si,si
35,posgrado,medio,alto,0,10770,si,si
53,ninguno,bajo,bajo,5,1137,no,si
42,posgrado,medio,bajo,0,76495,si,si
39,licenciatura,medio,bajo,2,22895,si,si
36,ninguno,bajo,medio,3,17717,no,no
33,ninguno,alto,alto,1,79500,si,no
21,licenciatura,bajo,bajo,5,922,no,no
28,ninguno,medio,alto,3,30216,si,si
34,ninguno,bajo,bajo,5,3144,no,no
57,ninguno,alto,bajo,2,91223,si,si
26,ninguno,bajo,bajo,1,14195,no,no
20,licenciatura,bajo,bajo,5,19608,no,no
53,posgrado,alto,alto,1,25756,si,no
25,licenciatura,medio,alto,2,12089,si,si
56,posgrado,alto,medio,1,52831,si,si
48,posgrado,medio,medio,3,21163,si,si
44,ninguno,medio,medio,0,12997,no,no
50,ninguno,bajo,bajo,2,13171,no,no
24,ninguno,bajo,bajo,3,12557,no,si
46,posgrado,medio,bajo,0,98170,si,si
51,ninguno,bajo,medio,1,10654,si,no
29,ninguno,medio,medio,0,86695,si,si
39,ninguno,medio,alto,1,1041,si,si
34,licenciatura,medio,medio,2,6969,si,no
25,licenciatura,medio,alto,0,9303,si,si
26,licenciatura,bajo,bajo,3,13433,no,no
48,ninguno,bajo,bajo,3,11760,no,no
42,ninguno,bajo,bajo,1,5710,no,no
31,licenciatura,medio,medio,1,74604,si,si
22,licenciatura,medio,bajo,2,90955,si,si
46,ninguno,bajo,bajo,5,9130,no,no
47,ninguno,bajo,bajo,6,13051,no,no
30,ninguno,medio,medio,1,90846,si,si
49,ninguno,bajo,bajo,6,11992,no,no
53,ninguno,bajo,bajo,3,10205,si,si
43,posgrado,medio,bajo,0,42952,si,si
54,ninguno,bajo,bajo,2,6877,no,no
42,posgrado,alto,medio,0,45097,si,si
42,ninguno,bajo,bajo,4,4831,no,si
42,posgrado,medio,medio,3,66739,si,si
20,ninguno,bajo,bajo,1,17156,no,no
36,licenciatura,bajo,bajo,1,8060,no,no
40,posgrado,bajo,bajo,1,5764,no,no
42,ninguno,bajo,bajo,1,17395,no,no
47,posgrado,medio,bajo,3,86527,si,si
58,ninguno,bajo,bajo,2,4381,no,no
30,ninguno,medio,bajo,3,43539,si,si
24,ninguno,bajo,bajo,6,3709,no,no
34,licenciatura,medio,medio,2,55167,no,no
50,ninguno,bajo,bajo,5,10539,no,no
46,ninguno,bajo,bajo,6,4908,no,no
28,licenciatura,bajo,bajo,1,17535,si,si
52,posgrado,alto,medio,0,51547,si,si
38,licenciatura,alto,bajo,1,72782,si,si
47,ninguno,medio,medio,0,10744,si,no
44,posgrado,medio,medio,0,64097,si,si
55,posgrado,medio,bajo,3,98983,si,si
44,ninguno,bajo,bajo,6,6499,no,no
22,licenciatura,bajo,bajo,1,13138,si,si
40,licenciatura,medio,medio,2,7110,no,no
35,licenciatura,medio,medio,1,44700,si,si
30,ninguno,bajo,bajo,5,18313,no,no
27,ninguno,medio,alto,1,8915,si,si
36,licenciatura,bajo,bajo,5,3374,no,no
25,posgrado,medio,alto,1,21865,si,si
40,ninguno,alto,medio,1,97116,si,si
53,posgrado,alto,medio,1,98674,no,no
43,ninguno,bajo,bajo,6,5342,no,no
51,ninguno,medio,alto,3,87699,si,no
54,ninguno,bajo,bajo,2,8325,no,no
58,posgrado,alto,alto,3,46411,si,si
41,ninguno,medio,medio,2,67081,si,si
20,ninguno,bajo,bajo,2,15461,no,no
32,ninguno,medio,bajo,1,82220,si,no
20,licenciatura,bajo,bajo,4,4727,no,no
60,posgrado,medio,alto,1,13475,si,si
49,posgrado,medio,bajo,1,30011,si,si
31,licenciatura,medio,bajo,2,59303,si,si
59,posgrado,medio,bajo,1,41481,si,si
22,ninguno,medio,medio,3,10025,si,si
33,licenciatura,medio,alto,1,94026,si,si
40,licenciatura,bajo,bajo,3,11008,no,no
21,licenciatura,medio,bajo,1,10610,si,no
54,posgrado,alto,alto,2,66735,si,si
49,ninguno,bajo,bajo,6,13714,no,no
39,licenciatura,medio,bajo,2,42659,si,si
43,ninguno,bajo,alto,6,10761,no,si
36,licenciatura,medio,alto,1,63987,si,si
24,licenciatura,medio,medio,3,1277,si,si
21,licenciatura,medio,bajo,0,36131,si,si
45,ninguno,bajo,bajo,4,17126,no,no
50,ninguno,medio,medio,0,4476,no,no
60,posgrado,bajo,bajo,1,3177,no,no
34,ninguno,medio,alto,2,35680,si,si
55,ninguno,bajo,bajo,4,13242,no,no
49,posgrado,medio,alto,3,28799,si,si
24,ninguno,medio,bajo,1,43934,si,si
33,licenciatura,alto,bajo,0,46411,si,si
46,posgrado,medio,bajo,2,58356,si,si
32,licenciatura,bajo,bajo,6,14138,si,si
49,ninguno,bajo,bajo,3,12339,si,si
24,licenciatura,bajo,medio,6,15059,si,no
49,ninguno,bajo,bajo,5,11393,no,no
33,licenciatura,medio,bajo,1,43576,si,si
32,ninguno,medio,alto,0,37804,si,si
30,licenciatura,medio,alto,0,3713,si,si
45,posgrado,bajo,bajo,3,5132,no,no
49,posgrado,alto,bajo,0,98110,no,no
35,licenciatura,medio,alto,3,31470,si,no
45,ninguno,bajo,bajo,4,15016,si,no
35,ninguno,medio,medio,3,30005,si,si
27,licenciatura,bajo,bajo,5,17363,si,si
29,licenciatura,bajo,bajo,2,15744,no,no
32,licenciatura,alto,alto,1,28640,si,si
31,licenciatura,medio,bajo,0,44645,si,no
39,licenciatura,medio,alto,3,3412,si,si
50,ninguno,bajo,bajo,2,3011,no,no
39,ninguno,bajo,bajo,2,15650,si,no
43,ninguno,bajo,bajo,6,843,no,no
58,ninguno,medio,medio,2,99948,si,si
37,licenciatura,bajo,bajo,6,3270,no,no
37,licenciatura,medio,alto,2,725,si,no
29,ninguno,bajo,medio,6,17284,si,no
22,licenciatura,medio,alto,2,40179,si,si
31,licenciatura,medio,alto,1,25629,no,si
33,licenciatura,bajo,bajo,1,12593,si,no
20,licenciatura,medio,medio,2,80407,si,no
47,posgrado,alto,medio,1,97478,si,no
21,licenciatura,bajo,medio,2,11397,no,no
22,licenciatura,bajo,medio,4,3507,si,no
34,licenciatura,bajo,bajo,6,529,no,si
31,licenciatura,medio,medio,1,72172,si,no
22,licenciatura,alto,bajo,1,14469,si,si
30,licenciatura,medio,alto,1,42983,si,si
38,licenciatura,bajo,medio,3,16812,no,si
20,licenciatura,alto,alto,1,15158,si,si
56,ninguno,medio,medio,2,39373,si,si
22,licenciatura,medio,medio,0,92140,si,si
37,ninguno,bajo,bajo,6,16463,si,no
33,licenciatura,medio,medio,0,80491,si,si
29,licenciatura,bajo,bajo,1,17238,no,no
53,posgrado,medio,medio,3,35138,si,si
35,licenciatura,bajo,medio,5,13675,si,si
45,posgrado,medio,medio,0,92131,si,si
38,licenciatura,medio,medio,2,69992,si,si
22,licenciatura,medio,alto,1,78493,si,no
53,ninguno,bajo,bajo,4,8642,no,no
57,posgrado,medio,medio,0,5907,si,no
57,ninguno,bajo,bajo,1,9134,no,no
38,ninguno,medio,alto,0,85007,no,si
57,posgrado,medio,medio,2,56224,si,no
47,posgrado,medio,bajo,0,35650,si,si
50,posgrado,alto,medio,2,18960,si,si
57,ninguno,bajo,bajo,4,12645,no,no
55,ninguno,bajo,bajo,2,11228,no,no
35,ninguno,medio,alto,0,82645,si,si
55,ninguno,bajo,bajo,3,5194,si,no
41,ninguno,bajo,bajo,6,8077,si,no
39,licenciatura,bajo,bajo,4,16654,no,no
60,posgrado,medio,medio,0,97895,si,si
27,licenciatura,medio,alto,2,32165,si,si
27,licenciatura,medio,alto,1,32510,si,si
43,posgrado,alto,alto,3,11083,si,si
60,posgrado,medio,bajo,0,71148,no,no
20,licenciatura,bajo,bajo,4,18869,no,no
60,ninguno,medio,medio,0,94737,si,si
49,ninguno,bajo,bajo,6,11658,no,no
45,ninguno,medio,alto,0,81909,si,si
55,ninguno,bajo,bajo,6,7041,no,no
54,ninguno,bajo,bajo,5,13985,no,no
60,posgrado,medio,alto,0,50380,si,si
46,ninguno,medio,alto,0,76890,si,no
29,licenciatura,medio,alto,3,45877,si,si
26,ninguno,bajo,bajo,6,18566,no,no
35,ninguno,medio,alto,0,48419,si,si
25,licenciatura,medio,medio,0,7949,no,no
55,posgrado,medio,medio,0,31650,si,si
37,ninguno,alto,alto,2,51777,si,no
22,licenciatura,bajo,bajo,5,2374,no,si
46,ninguno,medio,medio,1,44496,si,si
27,licenciatura,bajo,bajo,3,17711,no,si
34,licenciatura,medio,medio,1,29521,si,si
58,ninguno,bajo,bajo,5,13059,no,no
59,posgrado,medio,alto,1,77095,si,no
57,ninguno,bajo,bajo,5,3764,no,no
58,ninguno,bajo,bajo,5,13815,no,no
58,ninguno,alto,medio,2,24334,si,si
21,licenciatura,medio,medio,2,16701,no,no
46,ninguno,medio,medio,1,72118,no,no
48,ninguno,bajo,bajo,3,13754,no,no
45,ninguno,bajo,bajo,2,19155,no,no
58,posgrado,medio,medio,2,81514,si,si
49,posgrado,medio,medio,3,59796,si,si
22,licenciatura,medio,medio,0,46643,si,si
48,ninguno,bajo,medio,3,10639,si,no
41,ninguno,bajo,bajo,4,14735,no,no
49,ninguno,bajo,bajo,4,14131,no,no
20,licenciatura,bajo,bajo,6,2768,si,no
21,licenciatura,medio,medio,0,86018,no,no
37,ninguno,medio,alto,3,76955,si,si
